14:43:32	CPU	%user	%nice	%system	%iowait	%steal	%idle
14:48:32	all	3,29	0,00	1,90	0,00	0,00	94,81
14:48:33	all	1,01	0,00	1,39	0,00	0,00	97,61
14:48:34	all	3,27	0,00	2,26	0,00	0,00	94,47
14:48:35	all	2,27	0,00	2,64	0,13	0,00	94,96
14:48:36	all	2,52	0,00	1,39	0,00	0,00	96,09
14:48:37	all	4,53	0,00	2,39	0,13	0,00	92,95
14:48:38	all	2,02	0,00	1,76	0,00	0,00	96,22
14:48:39	all	3,79	0,00	2,78	0,13	0,00	93,31
14:48:40	all	2,51	0,00	0,88	0,25	0,00	96,36
14:48:41	all	4,02	0,00	2,26	0,13	0,00	93,59
14:48:42	all	3,02	0,00	1,88	0,00	0,00	95,10
14:48:43	all	4,04	0,00	2,15	0,00	0,00	93,81
14:48:44	all	4,27	0,00	2,63	0,13	0,00	92,97
14:48:45	all	2,78	0,00	1,39	0,38	0,00	95,44
14:48:46	all	4,30	0,00	2,53	0,00	0,00	93,17
14:48:47	all	2,64	0,00	1,64	0,13	0,00	95,59
14:48:48	all	3,77	0,00	1,89	0,00	0,00	94,34
14:48:49	all	1,89	0,00	1,01	0,00	0,00	97,10
14:48:50	all	3,39	0,00	2,76	0,25	0,00	93,60
14:48:51	all	1,88	0,00	2,01	0,13	0,00	95,98
14:48:52	all	2,64	0,00	1,76	0,00	0,00	95,59
14:48:53	all	3,40	0,00	2,52	0,13	0,00	93,96
14:48:54	all	1,75	0,00	1,38	0,00	0,00	96,87
14:48:55	all	3,54	0,00	2,15	0,25	0,00	94,07
14:48:56	all	1,39	0,00	1,01	0,00	0,00	97,60
14:48:57	all	3,50	0,00	2,25	0,00	0,00	94,24
14:48:58	all	1,88	0,00	0,88	0,13	0,00	97,11
14:48:59	all	3,27	0,00	2,52	0,00	0,00	94,21
14:49:00	all	3,02	0,00	2,01	0,25	0,00	94,72
14:49:01	all	1,88	0,00	1,51	0,00	0,00	96,61
14:49:02	all	3,16	0,00	2,03	0,00	0,00	94,81
14:49:03	all	2,02	0,00	0,76	0,00	0,00	97,23
14:49:04	all	4,00	0,00	2,00	0,12	0,00	93,88
14:49:05	all	1,76	0,00	1,26	0,25	0,00	96,73
14:49:06	all	3,15	0,00	2,39	0,00	0,00	94,46
14:49:07	all	1,89	0,00	1,76	0,00	0,00	96,35
14:49:08	all	3,27	0,00	1,01	0,00	0,00	95,72
14:49:09	all	3,76	0,00	2,38	0,00	0,00	93,85
14:49:10	all	1,27	0,00	0,89	0,25	0,00	97,59
14:49:11	all	3,26	0,00	2,63	0,00	0,00	94,10
14:49:12	all	1,26	0,00	1,01	0,00	0,00	97,73
14:49:13	all	3,27	0,00	2,14	0,00	0,00	94,58
14:49:14	all	1,26	0,00	1,26	0,13	0,00	97,36
14:49:15	all	3,91	0,00	2,02	0,25	0,00	93,82
14:49:16	all	2,02	0,00	2,27	0,00	0,00	95,71
14:49:17	all	2,39	0,00	1,38	0,00	0,00	96,23
14:49:18	all	3,65	0,00	2,39	0,13	0,00	93,83
14:49:19	all	1,88	0,00	1,25	0,00	0,00	96,86
14:49:20	all	3,27	0,00	2,51	0,50	0,00	93,72
14:49:21	all	1,77	0,00	1,01	0,00	0,00	97,23
14:49:22	all	3,03	0,00	2,40	0,00	0,00	94,58
14:49:23	all	1,26	0,00	1,39	0,00	0,00	97,35
14:49:24	all	3,02	0,00	1,89	0,13	0,00	94,97
14:49:25	all	3,03	0,00	2,02	0,25	0,00	94,69
14:49:26	all	1,51	0,00	1,38	0,13	0,00	96,98
14:49:27	all	4,14	0,00	1,88	0,00	0,00	93,98
14:49:28	all	1,39	0,00	1,13	0,00	0,00	97,48
14:49:29	all	3,54	0,00	1,64	0,00	0,00	94,82
14:49:30	all	1,39	0,00	1,26	0,13	0,00	97,23
14:49:31	all	3,89	0,00	2,14	0,00	0,00	93,97
14:49:32	all	2,01	0,00	2,39	0,00	0,00	95,60
14:49:33	all	2,53	0,00	1,01	0,00	0,00	96,46
14:49:34	all	3,26	0,00	2,51	0,00	0,00	94,23
14:49:35	all	1,27	0,00	1,01	0,13	0,00	97,59
14:49:36	all	3,52	0,00	2,26	0,13	0,00	94,09
14:49:37	all	1,51	0,00	1,13	0,00	0,00	97,36
14:49:38	all	2,76	0,00	2,89	0,00	0,00	94,35
14:49:39	all	1,25	0,00	1,38	0,00	0,00	97,37
14:49:40	all	3,53	0,00	2,14	0,25	0,00	94,08
14:49:41	all	2,14	0,00	2,27	0,00	0,00	95,59
14:49:42	all	1,90	0,00	0,89	0,00	0,00	97,22
14:49:43	all	3,14	0,00	2,39	0,13	0,00	94,34
14:49:44	all	1,38	0,00	1,26	0,00	0,00	97,36
14:49:45	all	3,14	0,00	2,64	0,25	0,00	93,97
14:49:46	all	1,26	0,00	1,38	0,00	0,00	97,36
14:49:47	all	3,41	0,00	2,02	0,00	0,00	94,57
14:49:48	all	1,26	0,00	1,52	0,00	0,00	97,22
14:49:49	all	3,02	0,00	1,76	0,00	0,00	95,22
14:49:50	all	3,27	0,00	2,26	0,38	0,00	94,09
14:49:51	all	1,51	0,00	1,13	0,00	0,00	97,36
14:49:52	all	5,90	0,00	2,14	3,77	0,00	88,19
14:49:53	all	1,38	0,00	1,25	0,13	0,00	97,24
14:49:54	all	2,90	0,00	2,64	0,00	0,00	94,46
14:49:55	all	1,14	0,00	1,01	0,38	0,00	97,47
14:49:56	all	5,26	0,00	2,88	0,00	0,00	91,86
14:49:57	all	6,35	0,00	3,55	0,00	0,00	90,10
14:49:58	all	3,64	0,00	1,25	0,00	0,00	95,11
14:49:59	all	5,28	0,00	2,14	3,39	0,00	89,20
14:50:00	all	1,64	0,00	1,38	0,00	0,00	96,98
14:50:01	all	3,41	0,00	2,02	0,00	0,00	94,57
14:50:02	all	1,14	0,00	1,01	0,13	0,00	97,72
14:50:03	all	3,54	0,00	1,89	0,00	0,00	94,57
14:50:04	all	1,01	0,00	1,13	0,38	0,00	97,48
14:50:05	all	3,38	0,00	2,38	0,00	0,00	94,24
14:50:06	all	2,64	0,00	2,26	0,00	0,00	95,09
14:50:07	all	2,02	0,00	1,01	0,00	0,00	96,97
14:50:08	all	3,52	0,00	2,14	0,00	0,00	94,34
14:50:09	all	1,38	0,00	1,13	0,13	0,00	97,36
14:50:10	all	3,65	0,00	2,01	0,13	0,00	94,21
14:50:11	all	1,01	0,00	1,01	0,13	0,00	97,85
14:50:12	all	3,77	0,00	2,01	0,00	0,00	94,22
14:50:13	all	1,64	0,00	1,64	0,00	0,00	96,73
14:50:14	all	3,40	0,00	1,13	0,00	0,00	95,47
14:50:15	all	3,15	0,00	2,40	0,25	0,00	94,20
14:50:16	all	1,26	0,00	1,14	0,00	0,00	97,60
14:50:17	all	3,29	0,00	1,90	0,00	0,00	94,82
14:50:18	all	1,14	0,00	0,88	0,00	0,00	97,98
14:50:19	all	3,03	0,00	2,40	0,13	0,00	94,45
14:50:20	all	1,01	0,00	0,89	0,13	0,00	97,97
14:50:21	all	3,51	0,00	2,13	0,00	0,00	94,35
14:50:22	all	1,52	0,00	2,53	0,00	0,00	95,96
14:50:23	all	3,26	0,00	1,00	0,00	0,00	95,74
14:50:24	all	3,64	0,00	2,26	0,13	0,00	93,98
14:50:25	all	1,77	0,00	1,01	0,25	0,00	96,97
14:50:26	all	3,16	0,00	2,03	0,00	0,00	94,81
14:50:27	all	1,77	0,00	1,14	0,00	0,00	97,09
14:50:28	all	3,53	0,00	2,02	0,00	0,00	94,46
14:50:29	all	1,51	0,00	1,13	0,00	0,00	97,35
14:50:30	all	3,14	0,00	2,38	0,38	0,00	94,10
14:50:31	all	2,78	0,00	2,02	0,00	0,00	95,20
14:50:32	all	1,89	0,00	1,01	0,00	0,00	97,10
14:50:33	all	3,40	0,00	2,39	0,00	0,00	94,21
14:50:34	all	1,39	0,00	0,63	0,00	0,00	97,97
14:50:35	all	3,27	0,00	2,39	0,38	0,00	93,97
14:50:36	all	0,76	0,00	1,27	0,13	0,00	97,84
14:50:37	all	3,02	0,00	2,39	0,00	0,00	94,58
14:50:38	all	1,76	0,00	1,89	0,00	0,00	96,35
14:50:39	all	3,27	0,00	1,13	0,00	0,00	95,59
14:50:40	all	3,64	0,00	2,26	0,25	0,00	93,84
14:50:41	all	1,38	0,00	1,26	0,00	0,00	97,36
14:50:42	all	4,02	0,00	2,01	0,13	0,00	93,84
14:50:43	all	1,13	0,00	1,13	0,00	0,00	97,73
14:50:44	all	3,39	0,00	2,26	0,00	0,00	94,35
