id,timeInit,timeFinal,time (ns),time (ms),
338,26372980303752,26607864836326,234884532574,234884.532574,234.884532574
339,26372980358578,26608867385738,235887027160,235887.02716,235.88702716
340,26372980413707,26609869565577,236889151870,236889.15187,236.88915187
341,26372980468569,26611873359257,238892890688,238892.890688,238.892890688
342,26372980523375,26612875845731,239895322356,239895.322356,239.895322356
343,26372980578007,26613878439724,240897861717,240897.861717,240.897861717
344,26372980633014,26614880837848,241900204834,241900.204834,241.900204834
345,26372980687333,26615883383566,242902696233,242902.696233,242.902696233
346,26372980742099,26616885960415,243905218316,243905.218316,243.905218316
347,26372980796949,26617888603409,244907806460,244907.80646,244.90780646
348,26372980852327,26618891184558,245910332231,245910.332231,245.910332231
349,26372980906989,26619893449184,246912542195,246912.542195,246.912542195
350,26372980961641,26620895824522,247914862881,247914.862881,247.914862881
351,26372981016242,26621898425360,248917409118,248917.409118,248.917409118
352,26372981070972,26622900973784,249919902812,249919.902812,249.919902812
353,26372981125376,26623903209235,250922083859,250922.083859,250.922083859
354,26372981180739,26624905811120,251924630381,251924.630381,251.924630381
355,26372981236696,26625908493589,252927256893,252927.256893,252.927256893
356,26372981291853,26626911015759,253929723906,253929.723906,253.929723906
357,26372981346770,26627913553770,254932207000,254932.207,254.932207
358,26372981401562,26628916056210,255934654648,255934.654648,255.934654648
359,26372981457152,26629918473121,256937015969,256937.015969,256.937015969
360,26372981513056,26630920834747,257939321691,257939.321691,257.939321691
361,26372981569332,26631923415693,258941846361,258941.846361,258.941846361
362,26372981625159,26448459755375,75478130216,75478.130216,75.478130216
363,26372981680293,26632924387817,259942707524,259942.707524,259.942707524
364,26372981735651,26633927092526,260945356875,260945.356875,260.945356875
365,26372981790040,26634929625796,261947835756,261947.835756,261.947835756
366,26372981845083,26635932085755,262950240672,262950.240672,262.950240672
367,26372981960728,26636934767452,263952806724,263952.806724,263.952806724
368,26372982083937,26637936376242,264954292305,264954.292305,264.954292305
369,26372982267564,26638939014751,265956747187,265956.747187,265.956747187
370,26372982397174,26639941509188,266959112014,266959.112014,266.959112014
371,26372982474622,26640944210374,267961735752,267961.735752,267.961735752
372,26372982532503,26641946554179,268964021676,268964.021676,268.964021676
373,26372982589865,26438433523089,65450933224,65450.933224,65.450933224
374,26372982646351,26439436168468,66453522117,66453.522117,66.453522117
375,26372982703733,26440438725244,67456021511,67456.021511,67.456021511
376,26372982761019,26441441283073,68458522054,68458.522054,68.458522054
377,26372982818812,26442443939312,69461120500,69461.1205,69.4611205
378,26372982875214,26443446558797,70463683583,70463.683583,70.463683583
379,26372982974586,26444449129161,71466154575,71466.154575,71.466154575
380,26372983097760,26445451750812,72468653052,72468.653052,72.468653052
381,26372983187221,26446454468640,73471281419,73471.281419,73.471281419
382,26372983242173,26447457208687,74473966514,74473.966514,74.473966514
383,26372983350653,26449460559942,76477209289,76477.209289,76.477209289
384,26372983480307,26426412796567,53429316260,53429.31626,53.42931626
385,26372983611665,26450463294208,77479682543,77479.682543,77.479682543
386,26372983741068,26451465800116,78482059048,78482.059048,78.482059048
387,26372983871318,26452467012568,79483141250,79483.14125,79.48314125
388,26372984026235,26453469598602,80485572367,80485.572367,80.485572367
389,26372984135536,26454472236665,81488101129,81488.101129,81.488101129
390,26372984195268,26455474837969,82490642701,82490.642701,82.490642701
391,26372984285283,26456477396497,83493111214,83493.111214,83.493111214
392,26372984362412,26457480061335,84495698923,84495.698923,84.495698923
393,26372984440447,26458482498673,85498058226,85498.058226,85.498058226
394,26372984518246,26459485070976,86500552730,86500.55273,86.50055273
395,26372984599562,26460487720951,87503121389,87503.121389,87.503121389
396,26372984672694,26461490346365,88505673671,88505.673671,88.505673671
397,26372984759925,26462492628656,89507868731,89507.868731,89.507868731
398,26372984859336,26463495341413,90510482077,90510.482077,90.510482077
399,26372984949916,26464497795870,91512845954,91512.845954,91.512845954
400,26372985006867,26643951719187,270966712320,270966.71232,270.96671232
401,26407985288443,26644954265608,236968977165,236968.977165,236.968977165
402,26407985537342,26645956874965,237971337623,237971.337623,237.971337623
403,26407985698727,26646959200735,238973502008,238973.502008,238.973502008
404,26407985735791,26647960140429,239974404638,239974.404638,239.974404638
405,26407985771099,26648962711845,240976940746,240976.940746,240.976940746
406,26407985806309,26649965324500,241979518191,241979.518191,241.979518191
407,26407985841518,26601835754120,193849912602,193849.912602,193.849912602
408,26407985876351,26650967945254,242982068903,242982.068903,242.982068903
409,26407985911265,26651970443615,243984532350,243984.53235,243.98453235
410,26407985955517,26652972954585,244986999068,244986.999068,244.986999068
411,26407985993500,26597825507652,189839514152,189839.514152,189.839514152
412,26407986030596,26653975555157,245989524561,245989.524561,245.989524561
413,26407986067880,26654978085310,246992017430,246992.01743,246.99201743
414,26407986105466,26655980586944,247994481478,247994.481478,247.994481478
415,26407986143025,26656983085004,248996941979,248996.941979,248.996941979
416,26407986180874,26657985687025,249999506151,249999.506151,249.999506151
417,26407986218393,26591810178618,183823960225,183823.960225,183.823960225
418,26407986255765,26658988244280,251001988515,251001.988515,251.001988515
419,26407986293407,26659990785779,252004492372,252004.492372,252.004492372
420,26407986331227,26660993349513,253007018286,253007.018286,253.007018286
421,26407986368568,26661995912806,254009544238,254009.544238,254.009544238
422,26407986406126,26662998393662,255011987536,255011.987536,255.011987536
423,26407986444036,26664000852790,256014408754,256014.408754,256.014408754
424,26407986481785,26665003460052,257016978267,257016.978267,257.016978267
425,26407986519362,26666006003040,258019483678,258019.483678,258.019483678
426,26407986556870,26667008483600,259021926730,259021.92673,259.02192673
427,26407986594485,26668011068518,260024474033,260024.474033,260.024474033
428,26407986638344,26669013535513,261026897169,261026.897169,261.026897169
