18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:55:16,all,0.13,0,0.25,0,0,99.62,0.38
18:55:17,all,0.13,0,0.22,0,0,99.65,0.35
18:55:18,all,0.22,0,0.28,0,0,99.5,0.5
18:55:19,all,0.16,0,0.22,0,0,99.62,0.38
18:55:20,all,0.25,0,0.22,0,0,99.53,0.47
18:55:21,all,0.13,0,0.25,0,0,99.62,0.38
18:55:22,all,0.31,0,0.19,0,0,99.5,0.5
18:55:23,all,0.19,0,0.19,0,0,99.62,0.38
18:55:24,all,0.19,0,0.22,0,0,99.59,0.41
18:55:25,all,0.06,0,0.25,0,0,99.69,0.31
18:55:26,all,0.13,0,0.22,0,0,99.65,0.35
18:55:27,all,0.25,0,0.22,0,0,99.53,0.47
18:55:28,all,0.16,0,0.31,0,0,99.53,0.47
18:55:29,all,0.22,0,0.19,0,0,99.59,0.41
18:55:30,all,0.22,0,0.19,0,0,99.59,0.41
18:55:31,all,0.19,0,0.19,0,0,99.62,0.38
18:55:32,all,0.16,0,0.25,0,0,99.59,0.41
18:55:33,all,0.25,0,0.25,0,0,99.5,0.5
18:55:34,all,0.19,0,0.13,0,0,99.69,0.31
18:55:35,all,0.19,0,0.28,0,0,99.53,0.47
18:55:36,all,0.09,0,0.22,0,0,99.69,0.31
18:55:37,all,0.22,0,0.25,0,0,99.53,0.47
18:55:38,all,0.19,0,0.22,0,0,99.59,0.41
18:55:39,all,0.22,0,0.22,0,0,99.56,0.44
18:55:40,all,0.16,0,0.19,0,0,99.66,0.34
18:55:41,all,0.22,0,0.28,0,0,99.5,0.5
18:55:42,all,0.16,0,0.25,0.06,0,99.53,0.47
18:55:43,all,0.16,0,0.28,0,0,99.56,0.44
18:55:44,all,0.09,0,0.25,0,0,99.65,0.35
18:55:45,all,0.16,0,0.28,0,0,99.56,0.44
18:55:46,all,0.19,0,0.25,0,0,99.56,0.44
18:55:47,all,0.16,0,0.13,0,0,99.72,0.28
18:55:48,all,0.22,0,0.22,0,0,99.56,0.44
18:55:49,all,0.19,0,0.31,0,0,99.5,0.5
18:55:50,all,0.28,0,0.19,0,0,99.53,0.47
18:55:51,all,0.22,0,0.13,0,0,99.66,0.34
18:55:52,all,0.22,0,0.16,0,0,99.62,0.38
18:55:53,all,0.06,0,0.22,0,0,99.72,0.28
18:55:54,all,0.19,0,0.19,0,0,99.62,0.38
18:55:55,all,0.19,0,0.28,0,0,99.53,0.47
18:55:56,all,0.16,0,0.19,0,0,99.66,0.34
18:55:57,all,0.16,0,0.19,0,0,99.66,0.34
18:55:58,all,0.16,0,0.25,0,0,99.59,0.41
18:55:59,all,0.22,0,0.25,0,0,99.53,0.47
18:56:00,all,0.25,0,0.22,0,0,99.53,0.47
18:56:01,all,0.22,0,0.22,0,0,99.56,0.44
18:56:02,all,0.13,0,0.28,0,0,99.59,0.41
18:56:03,all,0.16,0,0.22,0,0,99.62,0.38
18:56:04,all,0.25,0,0.25,0,0,99.5,0.5
