# time,PE1,PE2,PE3,PE4,total
3296,2,1,5,1,9
3301,2,1,5,1,9
3306,2,1,5,1,9
3311,2,1,5,1,9
3316,2,1,5,1,9
3321,2,1,5,1,9
3326,2,1,5,1,9
3331,2,1,5,1,9
3336,2,1,5,1,9
3341,2,1,5,1,9
3346,2,1,5,1,9
3351,2,1,5,1,9
3356,2,1,5,1,9
3361,2,1,5,1,9
3366,2,1,5,1,9
3371,2,1,5,1,9
3376,2,1,5,1,9
3381,2,1,5,1,9
3386,2,1,5,1,9
3391,2,1,5,1,9
3396,2,1,5,1,9
3401,2,1,5,1,9
3406,2,1,5,1,9
3411,2,1,5,1,9
3416,2,1,5,1,9
3421,2,1,5,1,9
3426,2,1,5,1,9
3431,2,1,5,1,9
3436,2,1,5,1,9
3441,2,1,5,1,9
3446,2,1,5,1,9
3451,2,1,5,1,9
3456,2,1,5,1,9
3461,2,1,5,1,9
3466,2,1,5,1,9
3471,2,1,5,1,9
3476,2,1,5,1,9
3481,2,1,5,1,9
3486,2,1,5,1,9
3491,2,1,5,1,9
3496,2,1,5,1,9
3501,2,1,5,1,9
3506,2,1,5,1,9
3511,2,1,5,1,9
3516,2,1,5,1,9
3521,2,1,5,1,9
3526,2,1,5,1,9
3531,2,1,5,1,9
3536,2,1,5,1,9
3541,2,1,5,1,9
3546,2,1,5,1,9
3551,2,1,5,1,9
3556,2,1,5,1,9
3561,2,1,5,1,9
3566,2,1,5,1,9
3571,2,1,5,1,9
3576,2,1,5,1,9
3581,2,1,5,1,9
3586,2,1,5,1,9
3591,2,1,5,1,9
3596,2,1,5,1,9
3601,2,1,5,1,9
3606,2,1,5,1,9
3611,2,1,5,1,9
3616,2,1,5,1,9
3621,2,1,5,1,9
3626,2,1,5,1,9
3631,2,1,5,1,9
3636,2,1,5,1,9
3641,2,1,5,1,9
3646,2,1,5,1,9
3651,2,1,5,1,9
3656,2,1,5,1,9
3661,2,1,5,1,9
3666,2,1,5,1,9
3671,2,1,5,1,9
3676,2,1,5,1,9
3681,2,1,5,1,9
3686,2,1,5,1,9
3691,2,1,5,1,9
3696,2,1,5,1,9
3701,2,1,5,1,9
3706,2,1,5,1,9
3711,2,1,5,1,9
3716,2,1,5,1,9
3721,2,1,5,1,9
3726,2,1,5,1,9
3731,2,1,5,1,9
3736,2,1,5,1,9
3741,2,1,5,1,9
3746,2,1,5,1,9
3751,2,1,5,1,9
3756,2,1,5,1,9
3761,2,1,5,1,9
3766,2,1,5,1,9
3771,2,1,5,1,9
3776,2,1,5,1,9
3781,2,1,5,1,9
3786,2,1,5,1,9
3791,2,1,5,1,9
3796,2,1,5,1,9
3801,2,1,5,1,9
3806,2,1,5,1,9
3811,2,1,5,1,9
3816,2,1,5,1,9
3821,2,1,5,1,9
3826,2,1,5,1,9
3831,2,1,5,1,9
3836,2,1,5,1,9
3841,2,1,5,1,9
3846,2,1,5,1,9
3851,2,1,5,1,9
3856,2,1,5,1,9
3861,2,1,5,1,9
3866,2,1,5,1,9
3871,2,1,5,1,9
3876,2,1,5,1,9
3881,2,1,5,1,9
3886,2,1,5,1,9
3891,2,1,5,1,9
3896,2,1,5,1,9
3901,2,1,5,1,9
3906,2,1,5,1,9
3911,2,1,5,1,9
3916,2,1,5,1,9
3921,2,1,5,1,9
3926,2,1,5,1,9
3931,2,1,5,1,9
3936,2,1,5,1,9
3941,2,1,5,1,9
3946,2,1,5,1,9
3951,2,1,5,1,9
3956,2,1,5,1,9
3961,2,1,5,1,9
3966,2,1,5,1,9
3971,2,1,5,1,9
3976,2,1,5,1,9
3981,2,1,5,1,9
3986,2,1,5,1,9
3991,2,1,5,1,9
3996,2,1,5,1,9
4001,2,1,5,1,9
4006,2,1,5,1,9
4011,2,1,5,1,9
4016,2,1,5,1,9
4021,2,1,5,1,9
4026,2,1,5,1,9
4031,2,1,5,1,9
4036,2,1,5,1,9
4041,2,1,5,1,9
4046,2,1,5,1,9
4051,2,1,5,1,9
4056,2,1,5,1,9
4061,2,1,5,1,9
4066,2,1,5,1,9
4071,2,1,5,1,9
4076,2,1,5,1,9
4081,2,1,5,1,9
4086,2,1,5,1,9
4091,2,1,5,1,9
4096,2,1,5,1,9
4101,2,1,5,1,9
4106,2,1,5,1,9
4111,2,1,5,1,9
4116,2,1,5,1,9
4121,2,1,5,1,9
4126,2,1,5,1,9
4131,2,1,5,1,9
4136,2,1,5,1,9
4141,2,1,5,1,9
4146,2,1,5,1,9
4151,2,1,5,1,9
4156,2,1,5,1,9
4161,2,1,5,1,9
4166,2,1,5,1,9
4171,2,1,5,1,9
4176,2,1,5,1,9
4181,2,1,5,1,9
4186,2,1,5,1,9
4191,2,1,5,1,9
4196,2,1,5,1,9
4201,2,1,5,1,9
4206,2,1,5,1,9
4211,2,1,5,1,9
4216,2,1,5,1,9
