14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:13:05	all	5,05	0,00	3,03	0,00	0,00	91,92
14:13:06	all	2,79	0,00	1,90	0,00	0,00	95,31
14:13:07	all	4,42	0,00	3,03	0,13	0,00	92,42
14:13:08	all	2,92	0,00	1,65	0,00	0,00	95,43
14:13:09	all	4,78	0,00	3,40	0,25	0,00	91,57
14:13:10	all	2,30	0,00	3,06	0,00	0,00	94,64
14:13:11	all	4,77	0,00	2,14	0,00	0,00	93,09
14:13:12	all	4,92	0,00	3,28	0,00	0,00	91,80
14:13:13	all	3,17	0,00	1,90	0,13	0,00	94,80
14:13:14	all	4,94	0,00	3,04	0,25	0,00	91,77
14:13:15	all	2,92	0,00	1,90	0,00	0,00	95,18
14:13:16	all	4,65	0,00	3,02	0,00	0,00	92,33
14:13:17	all	2,66	0,00	1,78	0,13	0,00	95,43
14:13:18	all	4,95	0,00	2,92	0,00	0,00	92,13
14:13:19	all	3,56	0,00	2,42	0,25	0,00	93,77
14:13:20	all	4,40	0,00	2,26	0,00	0,00	93,33
14:13:21	all	4,78	0,00	3,40	0,13	0,00	91,70
14:13:22	all	3,29	0,00	1,77	0,00	0,00	94,94
14:13:23	all	5,06	0,00	2,66	0,13	0,00	92,15
14:13:24	all	3,53	0,00	2,14	0,25	0,00	94,08
14:13:25	all	5,05	0,00	2,90	0,00	0,00	92,05
14:13:26	all	2,80	0,00	1,78	0,00	0,00	95,42
14:13:27	all	5,06	0,00	2,78	0,13	0,00	92,04
14:13:28	all	4,65	0,00	2,76	0,00	0,00	92,59
14:13:29	all	5,21	0,00	1,78	0,38	0,00	92,63
14:13:30	all	5,41	0,00	3,14	0,00	0,00	91,45
14:13:31	all	2,67	0,00	1,91	0,00	0,00	95,42
14:13:32	all	5,28	0,00	2,77	0,00	0,00	91,95
14:13:33	all	3,04	0,00	1,77	0,13	0,00	95,06
14:13:34	all	5,43	0,00	2,65	0,38	0,00	91,54
14:13:35	all	3,17	0,00	1,52	0,00	0,00	95,31
14:13:36	all	5,03	0,00	3,02	0,13	0,00	91,82
14:13:37	all	3,67	0,00	2,91	0,00	0,00	93,43
14:13:38	all	4,45	0,00	1,91	0,00	0,00	93,65
14:13:39	all	4,55	0,00	3,03	0,38	0,00	92,04
14:13:40	all	2,79	0,00	2,15	0,00	0,00	95,06
14:13:41	all	3,94	0,00	2,80	0,00	0,00	93,26
14:13:42	all	3,16	0,00	1,65	0,00	0,00	95,19
14:13:43	all	4,55	0,00	3,16	0,13	0,00	92,16
14:13:44	all	2,77	0,00	2,40	0,25	0,00	94,58
14:13:45	all	4,17	0,00	3,66	0,00	0,00	92,17
14:13:46	all	2,92	0,00	2,79	0,00	0,00	94,30
14:13:47	all	4,18	0,00	2,03	0,00	0,00	93,79
14:13:48	all	4,81	0,00	2,66	0,00	0,00	92,53
14:13:49	all	2,77	0,00	2,40	0,38	0,00	94,45
14:13:50	all	5,16	0,00	3,40	0,00	0,00	91,45
14:13:51	all	3,80	0,00	2,03	0,00	0,00	94,17
14:13:52	all	5,68	0,00	3,41	0,00	0,00	90,91
14:13:53	all	6,18	0,00	2,02	0,13	0,00	91,68
14:13:54	all	6,05	0,00	3,03	0,38	0,00	90,54
14:13:55	all	4,07	0,00	2,80	0,13	0,00	93,01
14:13:56	all	5,08	0,00	2,41	0,00	0,00	92,51
14:13:57	all	5,30	0,00	3,78	0,00	0,00	90,92
14:13:58	all	7,30	0,00	1,13	0,13	0,00	91,45
14:13:59	all	6,31	0,00	4,41	0,50	0,00	88,78
14:14:00	all	3,81	0,00	1,27	0,13	0,00	94,80
14:14:01	all	5,45	0,00	3,93	0,00	0,00	90,62
14:14:02	all	3,16	0,00	2,02	0,00	0,00	94,82
14:14:03	all	5,18	0,00	2,65	0,00	0,00	92,16
14:14:04	all	2,04	0,00	1,79	0,38	0,00	95,79
14:14:05	all	4,43	0,00	3,04	0,00	0,00	92,53
14:14:06	all	2,28	0,00	2,41	0,13	0,00	95,19
14:14:07	all	3,92	0,00	2,66	0,00	0,00	93,42
14:14:08	all	4,30	0,00	3,04	0,00	0,00	92,66
14:14:09	all	3,03	0,00	2,02	0,25	0,00	94,70
14:14:10	all	5,06	0,00	2,53	0,13	0,00	92,28
14:14:11	all	3,41	0,00	1,77	0,00	0,00	94,82
14:14:12	all	4,92	0,00	2,90	0,00	0,00	92,17
14:14:13	all	3,29	0,00	1,77	0,13	0,00	94,81
14:14:14	all	5,63	0,00	3,00	0,38	0,00	90,99
14:14:15	all	3,25	0,00	3,00	0,00	0,00	93,74
14:14:16	all	4,41	0,00	2,27	0,00	0,00	93,32
14:14:17	all	3,81	0,00	2,79	0,13	0,00	93,27
14:14:18	all	3,17	0,00	1,65	0,00	0,00	95,18
14:14:19	all	4,90	0,00	3,27	0,25	0,00	91,58
14:14:20	all	3,68	0,00	1,14	0,00	0,00	95,17
14:14:21	all	4,43	0,00	3,04	0,00	0,00	92,53
14:14:22	all	2,43	0,00	1,40	0,00	0,00	96,17
14:14:23	all	5,32	0,00	2,91	0,00	0,00	91,77
14:14:24	all	3,16	0,00	2,53	0,25	0,00	94,05
14:14:25	all	4,04	0,00	2,27	0,13	0,00	93,56
14:14:26	all	5,90	0,00	3,51	0,00	0,00	90,59
14:14:27	all	3,04	0,00	2,28	0,00	0,00	94,68
14:14:28	all	5,20	0,00	2,92	0,00	0,00	91,88
14:14:29	all	2,93	0,00	1,53	0,38	0,00	95,17
14:14:30	all	4,20	0,00	2,68	0,00	0,00	93,12
